,NSSCP-32-mean,NSSCP-32-std,NSSC-32-mean,NSSC-32-std
10,0.9844092395625732,0.9781884841404165,0.11615676965385964,0.12385928168217233
11,0.9623973953631609,0.9312906553496881,0.12967156025538262,0.13856902300861623
12,0.9122917910161976,0.879862826399425,0.1408732476765967,0.14513849563214057
13,0.8510141225658027,0.8038168031428147,0.14896313430351096,0.1442149955376509
14,0.7818860290626937,0.7094282824147725,0.15365160869187294,0.14067739826925163
15,0.7229707487467842,0.6280448745710513,0.15796746490845137,0.13800999459123686
16,0.6817111567671882,0.5638244480199324,0.15998025151371073,0.13128234055777704
17,0.6493263189165143,0.5171557533136046,0.1623539093559828,0.12401628263983602
18,0.6275822445760798,0.49288062813779043,0.16477558117045288,0.1174773572086987
19,0.6050891419868393,0.4643140243959466,0.16765854222022145,0.11183034008221188
20,0.5837685386782786,0.4354507541257188,0.17301212156689286,0.11321410190313859
21,0.5634943085863449,0.40547634795111304,0.17611111538307792,0.11382545285085745
22,0.542673069078413,0.3815446096108512,0.1776749585836748,0.11332115144016512
23,0.5265673532124272,0.36657385499557954,0.17790093368955684,0.11293469425356326
24,0.5133048594485107,0.3533724104358493,0.17657563920165958,0.10936510757764718
25,0.5016202030285498,0.34325594687914335,0.1759886268894652,0.1058940187237254
26,0.4953044274417952,0.33769832348211365,0.17520432854091447,0.10296582437696769
27,0.4890434634441807,0.331049769975327,0.1753853698057321,0.10052073007790045
28,0.48449938389487174,0.3237297877477922,0.17703166275525564,0.09935228476031858
29,0.4801585024627769,0.3170549847188156,0.1776504225714481,0.09886995791677256
30,0.4716108568731866,0.31022044317433956,0.17714349603081256,0.09832844439442866
31,0.460911823349155,0.29702658319663194,0.17761212123853054,0.09864056762860171
32,0.4490135614547951,0.28555636245507626,0.1796632839466422,0.10037855514732794
33,0.4362728802047619,0.2753806361223051,0.1817399474210981,0.1023592525830648
34,0.4268005791368572,0.2696267268496547,0.1844363441378009,0.1036871042407371
35,0.42282293964155643,0.2755350979124137,0.1855203909455368,0.1042616347353287
36,0.4183252327285564,0.28075074017429746,0.1854579886611098,0.1040062552508035
37,0.4153615041815701,0.285154718298354,0.18446027640413393,0.10234305757315434
38,0.41577592050516166,0.2897259686302746,0.18433664281043416,0.10133999037212672
39,0.42001635376389423,0.2934085144385503,0.18361566603269222,0.10063374829973333
40,0.42290329552376,0.2924002022897561,0.18253030288466532,0.0992283439392632
41,0.42679506963755304,0.291679277410575,0.18120778881423924,0.09739111884213089
42,0.43108238729904325,0.2930082152724778,0.18049805385067505,0.09559111189346867
43,0.43399430863520727,0.2942223312316287,0.18013809616437854,0.09413148980939111
44,0.43411355426992326,0.2939320884513346,0.17958217338709817,0.09309192872970397
45,0.4285360577393252,0.2856605499052579,0.17962616066624315,0.09277032196274568
46,0.4238664469277145,0.277808085851971,0.17996461465303124,0.09318764479465522
47,0.4210502081560001,0.2729713485793627,0.1810555238633942,0.09477968747759417
48,0.42368001901525587,0.2758174439479351,0.18282237083903613,0.09692497260867454
49,0.4259163998913771,0.2793191846294369,0.18413122288643136,0.09885539797417109
50,0.4247965192933178,0.278078102970621,0.18461877588046724,0.09897413705228984
51,0.4175821045641975,0.2667854528391635,0.1829005650063169,0.09560288995191202
52,0.41092575007926424,0.25604475210734384,0.1820086663390245,0.09289526467876419
53,0.40545772048051626,0.24729386129654707,0.1818951619950307,0.09179466831205628
54,0.4008715456986756,0.2410000176997631,0.18237417452338278,0.09260906274109008
55,0.3959136904169598,0.2345367008167473,0.1828088611401896,0.09584281254063837
56,0.39262201405358577,0.22794742671002236,0.18405957236971876,0.09873598590538353
57,0.39037770967514734,0.22248629181801244,0.1854367528435568,0.10082390060702205
58,0.388263209975584,0.21748606118662062,0.18744686096778015,0.1006646485940378
59,0.39010970691582014,0.2169135997957633,0.18977320857201307,0.09944635049487231
60,0.39357673068060167,0.217839761852807,0.19193534879003754,0.09883725552693785
61,0.39786046548512344,0.2201130343322697,0.1941076067067855,0.09873404483783123
62,0.4012072378251946,0.22124043370170843,0.1979877105103413,0.10209663061476354
63,0.402545057561528,0.21763753340389275,0.20216522304372997,0.10635619474656133
64,0.402974533109186,0.21505741824246236,0.20714591454914846,0.1111328450653489
65,0.4022693909506908,0.21571933234855334,0.2118621820227144,0.11713253122661628
66,0.40174772697794264,0.21674063385462536,0.21544294593563115,0.12367803816940502
67,0.4009767519674373,0.21989406922410712,0.2183927646505278,0.1324349571252738
68,0.40230321979064126,0.2247184836868788,0.22067424204501776,0.13948182348835486
69,0.4054181989556851,0.23061740985163667,0.22162740056226155,0.1428225674526384
70,0.41030147080581053,0.23553503467508993,0.22145077215866638,0.1458460477607177
71,0.42205839542193874,0.2496246054241347,0.2203340467041093,0.14442660057437023
72,0.4380136923220522,0.27192061592720723,0.21957652790700105,0.14278671106060828
73,0.4537082626430509,0.29473482248953714,0.2209877537129749,0.14660495004582694
74,0.4689258135319488,0.31906999584492496,0.22437121945702093,0.15952676507789745
75,0.47762085370502233,0.33044730040475717,0.2272955527481116,0.17552345756937968
76,0.47982827422244334,0.3276347983911429,0.22970973312593884,0.1936990377336801
77,0.48135286506773123,0.32611108982980974,0.22884208627973746,0.19774122679001255
78,0.47959350044384613,0.32540287660981565,0.22470848006576505,0.19134705437462501
79,0.4771325459694609,0.32561988328234714,0.22006720906054048,0.18475664104516012
80,0.47346917970272057,0.32637971873177773,0.21562032467286513,0.17836337162840396
81,0.4705851382115331,0.3263534860928373,0.21098718736427852,0.16861506677789434
82,0.4683892760231529,0.32551092715855745,0.2059774967099854,0.15823152123965598
83,0.4648865151561984,0.3194404923270099,0.2018926074304099,0.14853195104456118
84,0.45241123381934223,0.2965366313929324,0.19827633969459335,0.1390244413167782
85,0.44015796971382953,0.2750464578828779,0.19535683355656402,0.13319672989997866
86,0.4271231601055206,0.2571006271997252,0.19239504694959944,0.1278265346433733
87,0.4136880590618523,0.24356674638543072,0.19020196241950818,0.12268254603158783
88,0.40631766588366885,0.23955219676051176,0.18797276215752687,0.11891122852836936
89,0.3999026901400558,0.23763997710106066,0.1871766019776172,0.11729973464426603
90,0.3939107502384559,0.23831934787351858,0.18643249807113005,0.1151996684767453
91,0.3884353181557611,0.24053565471468974,0.18627600926227555,0.1127141878828601
92,0.3872795578472545,0.2419748955480778,0.18632444839233256,0.11137896732896431
